,price,SMA,ADX,RSI,stochastic_oscillator,ATR,bollinger_band_width,OBV,CMF,z_score,donchian_channel_position
2021-01-01 00:00:00,0.0,0,0,0,0,0,0,0.0,0,0,0
0,115.58422088623,,,,,,,0.0,,,
1,116.21314239502,,0,100,,2.3399919734419967,,13731200.0,,,
2,121.670043945313,,0,100,,10.775771372626512,,38640300.0,,,
3,125.665603637695,,0,100,,21.547577598226844,,60580700.0,,,
4,125.804328918457,,0,100,,26.344475535536915,,72615800.0,,,
5,127.68187713623,,0,100,,28.413414679801082,,88553700.0,,,
6,129.688888549805,,0,100,,31.350804674171552,,106587200.0,,,
7,129.809143066406,,0,100,,32.62040280139444,,121404000.0,,,
8,130.56755065918,,90.01694603529755,100,,32.9804863579164,,139969600.0,,,
9,128.227569580078,,87.27607949835125,86.492298735003,,35.09056030295331,,112088600.0,,,
10,127.672622680664,,80.90778356748277,83.80754982526966,,36.90532676392729,,92244800.0,,,
11,125.758102416992,,74.37748613278696,75.70099438032592,,36.819818640035116,,76216000.0,,,
12,124.703704833984,,65.6472787726261,71.87222893772966,,35.7941132288508,,62804300.0,,,
13,123.741775512695,,57.26148879423516,68.7021765831285,52.79223602596238,34.876048863516,,49871100.0,,,
14,122.197227478027,,51.95265310733614,64.1583986984682,43.99367555469989,35.78028552268979,,35658300.0,,,
15,121.697784423828,,48.81036610243644,61.80804516630557,24.882276155221707,35.74734415450276,,24350500.0,,,
16,118.257179260254,,46.95590282812906,41.95378088532043,3.3116994144554277,36.30693282402719,,6746600.0,,,
17,120.338172912598,,46.45643749265232,36.19358173182684,17.92192285947741,38.92459772886368,,20508400.0,,,
18,119.006340026855,,43.6847935759795,33.40854820281298,8.571401280415367,40.52895921050303,,5700300.0,,,
19,119.884986877441,123.70851325988761,41.77347335449111,29.995168870300958,14.740198000129823,39.448158553553434,0.14384859684976004,16781000.0,-0.07322541426712617,-0.859446534978822,0.3082193321213342
20,123.575317382813,124.10806808471673,38.46167991820033,35.56133833819311,40.64924063884008,39.79127400192758,0.13025485243788043,29034600.0,-0.03999240932878604,-0.13182266745187055,0.5184400269891348
21,124.99040222168,124.54693107604973,34.976050558142795,39.275322452475166,50.584256858722455,40.487461457599466,0.1160771751275482,39635400.0,-0.04633533483741792,0.12270026422365632,0.5058425685872245
22,127.866859436035,124.85677185058584,33.524372188420266,44.50715450167013,76.22382554024279,40.098146337864954,0.1159718893314972,52054900.0,-0.05871666376316172,0.8315230440175213,0.7077926446215033
23,127.617126464844,124.95434799194331,34.02120734077113,48.6430658855525,79.62543492577274,39.54907313655587,0.11736955238303179,42003600.0,-0.04474056548561923,0.7262534484870291,0.6902594123284596
24,129.614898681641,125.14487648010251,35.0013559269084,54.05717768149146,98.76445091887103,38.05888122994098,0.12152874179753013,52140000.0,-0.04457735015071821,1.1756487756245013,0.8305188429460599
25,129.096954345703,125.21563034057615,36.252441578976494,57.40659629302902,94.44010573024693,36.28841044914228,0.12335302527600213,43525200.0,-0.08364740195642631,1.0051515352506342,0.7941550487960211
26,129.170959472656,125.18973388671868,37.51129375398239,60.360376300859315,91.05036127070522,34.35619860171982,0.12246937532212486,53848400.0,-0.096668517490239,1.0386771051805794,0.7993507947784387
27,128.81022644043,125.13978805541987,38.63679822081718,62.091849215734335,88.16555749973102,33.350129502583364,0.12077950659377623,44647400.0,-0.1381930284856737,0.9713802365301343,0.7740244791556802
28,130.641540527344,125.1434875488281,38.55594322215341,69.87374538131287,97.47545310768784,33.17103723243936,0.1209467731905542,52972000.0,-0.11031938493160699,1.4530025340105917,0.9720278160270704
29,133.786148071289,125.42141647338865,39.976990408227394,75.29998550131276,96.27148575751016,34.6074093629357,0.13341599353356315,65102600.0,-0.05764572748222905,1.9995506312910407,0.9627148575751017
30,134.202392578125,125.7479049682617,42.9523545428212,88.20915065181208,98.37115401106611,35.42575725886047,0.14575404387634502,75912700.0,0.044110752668517376,1.8451255056150475,0.9844704040648958
31,134.655563354492,126.19277801513672,45.602183256474696,87.21146185258337,98.86365238670497,34.697147019677594,0.15774017803423532,86500500.0,0.1245161195936474,1.700577734706987,0.9891541672694718
32,136.903106689453,126.80274810791016,48.47495275531785,94.40094549796544,95.97253955242154,34.9759960072747,0.17282938261777167,98470300.0,0.17401175219980566,1.8435314005919514,0.9618431233462532
33,138.188674926758,127.52509307861332,52.07060522388034,94.51175866180401,95.88825178701671,36.093768004317916,0.18691061881276672,109958700.0,0.17706566020970516,1.789507296570909,0.9658494299739719
34,139.298538208008,128.38015861511235,55.66760262488647,93.72409491318527,90.95746387296244,36.723886237803335,0.197768477271664,126193100.0,0.13841831531727725,1.7201376544333513,0.9318910935045387
35,141.749542236328,129.38274650573734,59.28478681616234,94.06598300474448,97.26626475618197,37.53144657068363,0.20965635798453083,141254500.0,0.21740844472113532,1.8236134028773054,0.9810677841490911
36,139.825744628906,130.46117477416993,62.709050000645,83.10271233273745,78.76709784708385,39.48232833922083,0.20358488697153046,123126800.0,0.2054032439598182,1.410330846394578,0.8607262551723476
37,136.116912841797,131.25011177062987,63.538009944074986,69.74637218786106,53.767948308777136,42.064265708858294,0.1926096848592301,103297600.0,0.1603142511467785,0.770062160968707,0.7105952174753815
38,139.196823120117,132.259635925293,58.90187486711871,71.19469208747593,73.62116708374108,44.1742689947898,0.17786034476812138,118143100.0,0.22836598591830695,1.1796059443117617,0.8334597960223342
39,138.743606567383,133.2025669097901,55.29883437678837,71.39914254902718,70.683405554778,43.49903098278366,0.15930273681041174,103921400.0,0.15857299843332115,1.044516773815957,0.7934961899861058
40,141.425827026367,134.09509239196782,53.11091552654863,74.36546667953232,87.64922523137282,43.769700778977594,0.1523707260070461,118245500.0,0.13256887491504504,1.4351360351473215,0.9035868787133553
41,139.252304077148,134.80818748474124,51.89725134144924,69.3652852673374,72.34034344673725,47.33601822950703,0.1415834308623084,98151600.0,0.08397624715132136,0.9313581815486315,0.7734487650382773
42,139.576019287109,135.3936454772949,48.04753826155501,67.55078526373063,67.6470714554147,50.86754808488506,0.1358788481905913,116616700.0,0.051766579418675025,0.90935340866415,0.76874931995477
43,141.425827026367,136.08408050537108,44.51517993634189,65.81163003096202,79.33548929840781,52.957304415910706,0.12970654412525134,133750000.0,0.06114321238813499,1.2105258159249168,0.8524305393844622
44,140.42692565918,136.62468185424805,42.397801510256485,62.57935120273529,69.90043131979866,53.804550813718116,0.1243185548831362,117511200.0,0.023440182933033137,0.8954365872036235,0.789442462676119
45,143.479064941406,137.34378738403316,39.96029652762526,66.13659106675838,89.99996278062356,54.49809111566436,0.12018469701524216,131853400.0,0.03762625889844229,1.486743381656177,0.9425864512948944
46,142.729919433594,138.02173538208007,39.13787044442721,61.274075053823395,80.9328471038979,53.564729057884094,0.11104064789929981,120081900.0,0.03623437782112141,1.228807780277831,0.8974371400668971
47,144.422454833984,138.80234680175778,38.78334492644628,61.87449461670556,86.69053886041608,51.64344038413003,0.0993151727798742,132931400.0,0.03196979055421612,1.630768235902265,0.9205575539756629
48,143.701049804688,139.45532226562494,38.85199665117323,58.51215296934124,79.67627744048202,50.109696903118405,0.08756780000472829,120830300.0,0.009000889144044455,1.3906971977306777,0.8516090851474862
49,141.980758666992,139.86505279541012,36.465039805633594,50.460050896147344,62.94979055977472,48.69011155291648,0.08020237727559384,108024700.0,-0.009232257186382034,0.7544297877638221,0.7160589483845918
50,143.442077636719,140.32703704833983,32.96286733361284,57.33031707797051,77.15827657709136,48.256217118219894,0.07371449455397366,121977100.0,-0.03349263482458715,1.204562819051401,0.8215040975350927
51,145.809829711914,140.8847503662109,32.88829394280425,70.77717122886887,70.55392450608944,51.00234355946508,0.0711008419035702,143875600.0,-0.11528427478693566,1.9666835848714013,0.7447876137690074
52,143.488327026367,141.21401138305663,33.23548903998575,59.50816169500476,52.25938495170984,55.61966370990062,0.06768113358231508,89456800.0,-0.013630572946268595,0.9518429901779314,0.5685102297507181
53,139.63151550293,141.28615341186523,28.774447800083287,51.70941928509357,21.865885341056035,57.695609774527135,0.06561587950468814,69512000.0,-0.07433694332474185,-0.7139279842963593,0.29380735567154653
54,138.234924316406,141.23297271728512,25.452198335579286,43.53687294665183,10.86008601020538,56.560909945760606,0.06724110142702279,52435700.0,-0.09534172669175334,-1.2627800501588107,0.19433461490616477
55,139.30778503418,141.11088485717772,23.33525877795401,50.117620266400486,19.31473607796173,54.923845876387745,0.06823050727501298,65515500.0,-0.14629106742481485,-0.7491014655742801,0.27074952936807894
56,141.092849731445,141.17424011230463,20.819999598839164,53.028073811565065,28.201036697497727,53.91926076167212,0.06768840679671353,81123800.0,-0.07642487629250243,-0.03406930868457856,0.39789144433492085
57,143.442077636719,141.54049835205075,18.643071080394243,53.94638363399396,48.1538120713145,52.299946623860876,0.06029046606319714,97878200.0,-0.0020184914491641164,0.8913434295816143,0.5189491787891748
58,141.213088989258,141.64131164550778,17.1837186984632,51.46805731583874,29.22226877841737,51.331786259069794,0.05836870954701982,80307900.0,-0.007591907419645903,-0.20718561594516577,0.3432943271660778
59,142.877883911133,141.84802551269527,15.39947673358889,48.81602695440233,43.36192676778063,50.68922906046332,0.05558733097981241,93492200.0,0.010753969603734367,0.5224423682725842,0.4744880437953392
60,140.796875,141.81657791137692,14.744600190938772,46.38279695648257,25.687224683095057,48.63819821493137,0.05592312103531418,76755500.0,-0.03215841157227619,-0.5142984885580429,0.3104946955439734
61,142.165740966797,141.96224975585938,12.904156220015404,45.72535146134034,37.31345945199338,46.04523602164006,0.05336621930631703,93317000.0,0.029753603610866246,0.10744008362500407,0.41836781035930576
