,price,SMA,ADX,RSI,stochastic_oscillator,ATR,bollinger_band_width,OBV,CMF,z_score,donchian_channel_position
2020-01-01,0.0,0,0,0,0,0,0,0.0,0,0,0
2020-01-02,125.020370483398,,,,,,,0.0,,,
2020-01-03,123.370597839355,,0,0.0,,2.7734265380539966,,-10386800.0,,,
2020-01-06,123.272445678711,86.47233123779293,39.37891253560985,76.46458162350766,96.55841867610236,116.95213487446443,0.7608900667743461,-400736600.0,0.07523747538466305,2.2372271371909496,0.9688740522211639
2020-01-07,121.176765441895,88.79054565429685,43.71549380458457,72.52629419282206,92.45295615134502,104.51430546718093,0.8041330438909282,-221222500.0,0.08686988945937496,1.8143689980491606,0.9317439076372648
2020-01-08,122.122055053711,91.09315338134763,47.11109540689893,79.40943920956933,94.30478975084931,93.87834427571353,0.8340495654337091,-496595300.0,0.06465222837250302,1.6336115590797637,0.9475134612923013
2020-01-09,122.567970275879,,0,26.57603364925606,,12.99983577565067,,-12012800.0,,,
2020-01-10,121.346214294434,,0,21.547133024134766,,13.730924926788065,,-22203700.0,,,
2020-01-13,122.353942871094,98.21634674072267,53.352014296558856,88.08391904360744,94.75906074481553,67.06348097545438,0.8262914969326481,-199893900.0,0.14090590549749313,1.1896985932763637,0.9475906074481553
2020-01-14,123.780815124512,100.31518135070803,54.528643987434634,87.81159570376792,96.56923696076115,62.19237862757884,0.8234223408595555,-270010600.0,0.09458974577793149,1.1363260715725771,0.9660901204050801
2020-01-15,121.925888061523,,70.32322311554547,35.601826608504666,,19.837376307402973,,-1235900.0,,,
2020-01-16,122.398529052734,104.09281616210936,55.58822720008687,87.56022358946228,92.90060430739,54.06307765652048,0.8001353333011137,-85474800.0,0.06574665511200108,0.8791488871912125,0.9392733706635995
2020-01-17,123.245727539063,106.08597183227542,55.49116295690742,87.51172166654192,94.80403144789705,48.52020580360222,0.7786686816430162,-70777100.0,0.05497040052490904,0.8309223205681106,0.9557092664257718
2020-01-21,122.03288269043,108.17321243286135,55.27687139673227,84.74920493221049,90.85458933932078,44.04502475993462,0.7409996687211795,-364319400.0,0.08639530890675448,0.6916321106160869,0.9321797254392236
2020-01-22,121.890190124512,,40.7021800756151,38.33890695603176,20.930114214250423,18.52600404410626,,8222300.0,,,
2020-01-23,121.765350341797,112.69237098693853,52.45320438286103,37.98558412023158,30.132324744376692,37.25454446126782,0.6149235100906207,-191168800.0,0.07520741325025654,0.5237141404323782,0.9261331335744
2020-01-24,118.742164611816,114.84277610778811,48.156382714094676,34.488877343449815,9.833959478540914,37.55807263247806,0.5271243910760589,-111312500.0,0.07877764613589112,0.2576556698477496,0.8540707769868928
2020-01-27,117.743354797363,116.69950485229492,42.210714254732295,32.525418244230494,20.995379621922623,38.94706898389378,0.44349587771841537,-504263800.0,0.09538890416609992,0.08067509086469082,0.823424900822685
2020-01-28,119.883682250977,,43.707659866078494,45.92473722758017,42.71507188789881,27.106790192023787,,-16087500.0,,,
2020-01-29,119.705299377441,120.34685668945315,32.95600745715941,41.99650216959512,40.904871718676766,37.75720802445101,0.21893006562423206,-310481600.0,0.1270090993223164,-0.09739917800252747,0.8476543320596388
2020-01-30,121.185684204102,121.77649650573733,28.97705758162245,45.71585850479597,55.92757435046588,37.15569288852815,0.05559061641844491,-396455400.0,0.07685211415015852,-0.3490957452456769,0.5592757435046588
2020-01-31,118.037643432617,121.4273601531983,25.677241002462523,40.83948841852686,23.981772467698757,38.82740711503664,0.05624382236499324,-124172500.0,0.005808942450466841,-1.9853268472547863,0.23981772467698756
2020-02-03,118.938346862793,121.2057476043702,23.850184382995725,40.48678593361439,33.12196327976308,38.815727601546726,0.05703671093447475,-494242200.0,-0.00601543470525541,-1.3119297708457442,0.3312196327976308
2020-02-04,120.650596618652,121.07465515136725,21.42226047783084,41.41805312103963,62.76685284023035,37.90598930950897,0.05500181289811431,-200017000.0,-0.07571182656175851,-0.2547156049644735,0.5049759321758163
2020-02-05,122.701721191406,121.15090293884279,20.381368149923553,52.10441925975099,91.84136828615434,37.53497951358788,0.05620302904843587,-474934400.0,0.0023937481783193404,0.9110338578858157,0.713120692661764
2020-02-06,122.71955871582,121.18077812194824,20.590222351387787,50.892809402442715,92.07449032509435,35.43720132138992,0.05691154326635201,-275896700.0,-0.018053243927101007,0.8924884256183323,0.7149308154091262
2020-02-07,122.327156066895,121.16873741149902,28.12448447564023,47.379078516407155,86.9462700099427,29.10475731835751,0.05662300501569648,2791600.0,0.0025489759058898117,0.675370423678406,0.6751104376224759
2020-02-10,122.835525512695,121.24320297241209,20.006697514021017,52.386069512722926,93.59026075964486,30.357696257119958,0.05784178699327871,-86270400.0,0.05221566752531684,0.9082218196618759,0.7266989359223821
2020-02-11,123.067359924316,121.27887382507318,19.854307749233612,53.481001520597864,90.9988258118898,28.049787028858425,0.05878947736003736,-79691800.0,-0.019324120113157896,1.0033692923015805,0.750225112108971
2020-02-12,123.067359924316,121.24320106506339,22.158035809646552,53.8788026730687,86.53450266867885,24.069319995576702,0.0573608240554712,15330900.0,-0.015674937111689102,1.049179683191766,0.8653450266867885
2020-02-13,122.96036529541,121.29492492675774,21.410817715931564,65.20898573751836,85.28213130883829,25.734912329364878,0.058476847682310124,-277184700.0,0.04812724634209599,0.9392095407317583,0.8528213130883829
2020-02-14,122.585777282715,121.30428733825681,18.6228557615191,68.28261949121465,76.59834177382892,23.171604213081203,0.05867959245467183,1255800.0,0.05610343055238275,0.7201317424549493,0.8089758132127789
2020-02-18,120.962738037109,121.19013786315911,17.80470079572601,54.23958762985152,53.32501621767418,24.88670452702787,0.05689144539585053,-482854100.0,-0.033498873337740744,-0.13192766389928237,0.6189991865467755
2020-02-19,122.61255645752,121.21912155151358,17.579287468141175,60.23870426895078,76.98233769693998,26.113590815839135,0.05749488579356666,-475782900.0,0.006869903304663327,0.7997354155870897,0.8121103136927434
2020-02-20,122.61255645752,121.255239868164,16.255831234989525,55.61009645179567,76.98233769693998,26.425545295886085,0.05816715827024837,-475782900.0,0.025716556999512464,0.7697731990596086,0.8121103136927434
2020-02-21,121.114334106445,121.22268905639639,15.937464143905203,63.900060526761756,47.511410657822985,26.592620499058444,0.05806028506037631,-485555700.0,-0.020720598568927308,-0.06158084866970517,0.636743495531445
2020-02-24,117.859321594238,121.17854690551749,18.994087760238042,45.98023399511688,16.018930160640522,29.52541117282852,0.06043514056420348,-404151400.0,0.038353442022754355,-1.812931721227368,0.2557445156861756
2020-02-25,112.597717285156,120.92126502990713,25.005769321269458,26.27437564146433,4.890553908855979,35.52835535868766,0.0835367971085764,-234903200.0,-0.07943661182211978,-3.296005779026436,0.04890553908855979
2020-02-26,112.936599731445,120.57391090393051,31.686100616929764,18.00126601519146,7.664287647203961,38.531578723887,0.10166086752449054,-115054900.0,-0.20549015772259105,-2.4922598311375426,0.07664287647203961
2020-02-27,108.236862182617,120.00048904418934,37.80377785852075,13.68523309619269,0.38910380903922714,40.21340856320128,0.13594969470725551,-233083100.0,-0.2773554778405673,-2.8842970055914705,0.0038910380903922712
2020-02-28,103.546020507813,119.11850585937489,44.21616226390164,11.258347767596462,12.955305219496688,46.86333749931983,0.18183989993534133,-564082600.0,-0.234462826589296,-2.8757392257251224,0.12955305219496688
2020-03-02,108.370620727539,118.63515472412101,49.42498040048326,24.67200885757812,33.27075702133807,53.96992416384366,0.19892174771391125,-156636400.0,-0.0989662587441477,-1.739816965698108,0.3327075702133807
2020-03-03,104.304054260254,117.90344009399405,50.853519263820125,21.035259256468322,16.147237703129257,58.41524349831389,0.22640763754704404,-189184100.0,-0.17576857196166656,-2.0378008401652288,0.16147237703129255
2020-03-04,106.881324768066,117.21497650146473,51.10724370763193,26.855388506503132,27.94401797816483,60.82070553224601,0.24072132765404408,-258410900.0,-0.07111828838686031,-1.4649275185811381,0.26999621817296376
2020-03-05,101.637588500977,116.16176986694332,51.90862266147017,23.415595279064874,5.385506381062245,63.47189622473737,0.26512000395915153,-188413800.0,-0.11580967041025848,-1.8864527710317416,0.052040429104298125
2020-03-06,96.3849334716797,114.8450386047363,53.63275784043094,20.87629342461021,9.169927044138644,68.73009579289831,0.3015318455986077,-226573200.0,-0.08548194312832334,-2.132302113619537,0.08929109422900416
2020-03-09,83.3290939331055,112.89513549804681,56.7599539356061,16.64558539510763,0.9693819084465628,80.12184599424796,0.3848989309275777,-361947900.0,-0.17236366138835904,-2.7216435176318075,0.009505348210456918
2020-03-10,89.8034820556641,111.24353332519527,59.954553252011756,23.212427422503453,16.975250865869654,88.56392474565608,0.42087412640192623,-425867900.0,-0.11075729204170912,-1.831718823506083,0.16634210644197836
2020-03-11,85.5764083862305,109.368985748291,61.42987161591895,21.71363422779261,6.739526140385645,88.34051702315291,0.4618115310495449,-463994900.0,-0.1363008744093388,-1.8842673553970681,0.0639447032325776
2020-03-12,78.522331237793,107.14173431396485,63.021562424152684,20.015043452955013,3.6902783511482524,90.75257498338925,0.5182172730150442,-323674700.0,-0.18186682351594527,-2.0618164768992653,0.033224568362469724
2020-03-13,92.6661605834961,105.62702407836915,63.71280421767081,34.62164449940228,38.314108621821106,101.27702536619545,0.5197103171499521,-665222200.0,-0.1046168490151739,-0.9444034073625179,0.3378145395749632
2020-03-16,78.7987976074219,103.43767509460449,61.043929038934586,31.330042094612466,8.581080907000151,117.7904875948774,0.5538936990177662,-703811900.0,-0.11001182671234687,-1.7201872885144902,0.07076521584454208
2020-03-17,83.6144638061523,101.57026138305665,59.39501133536859,34.56626439933706,22.425091472585652,126.46053344121393,0.5651819749905458,-288481300.0,-0.08027512892705449,-1.2511512649196164,0.17106214442815532
2020-03-18,74.8124771118164,99.18025741577148,56.88081650078758,33.1353329745082,8.288329004592478,129.22121201255365,0.5898634784686536,-615075000.0,-0.09922897478173721,-1.6660929362587162,0.060862056425748205
